Comment[SystematicName]	Comment[GENE_SYMBOL]	Comment[GENE_NAME]	Comment[CYTOBAND]
ENST00000378192	TLN1	talin 1	hs|9p13.3
NM_002439	MSH3	mutS homolog 3 (E. coli)	hs|5q14.1
NM_022789	IL25	interleukin 25	hs|14q11.2
ENST00000498457	XLOC_002880		hs|3q25.2
NR_026938	LOC221442	adenylate cyclase 10 (soluble) pseudogene	hs|6p21.1
NM_080870	DPCR1	diffuse panbronchiolitis critical region 1	hs|6p21.33
EF011062			
NR_015431	FLJ43663	uncharacterized LOC378805	hs|7q32.3
NR_039981	LOC100216546	uncharacterized LOC100216546	hs|7q22.3
NM_002023	FMOD	fibromodulin	hs|1q32.1
NR_003267	GGT3P	gamma-glutamyltransferase 3 pseudogene	hs|22q11.21
TCONS_00019585	XLOC_009383		hs|11p15.1
NR_015374	LOC401463	uncharacterized LOC401463	hs|8q12.3
NR_033894	LOC286114	uncharacterized LOC286114	hs|8p21.3
NM_033066	MPP4	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)	hs|2q33.1
ENST00000317652			hs|20q13.33
XR_108274	LOC645321	uncharacterized LOC645321	hs|18q23
NM_024751	GSTCD	glutathione S-transferase, C-terminal domain containing	hs|4q24
NM_014060	MCTS1	malignant T cell amplified sequence 1	hs|Xq24
AK130860	XLOC_001398		hs|2p23.3
NM_015701	ERLEC1	endoplasmic reticulum lectin 1	hs|2p16.2
TCONS_00010097	XLOC_004562		hs|5q31.1
NM_018455	CENPN	centromere protein N	hs|16q23.2
NM_031271	TEX15	testis expressed 15	hs|8p12
TCONS_00007007	XLOC_002878		hs|3q25.2
NM_175875	SIX5	SIX homeobox 5	hs|19q13.32
NM_001167674	CADM2	cell adhesion molecule 2	hs|3p12.1
NM_006936	SUMO3	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	hs|21q22.3
NM_203301	FBXO33	F-box protein 33	hs|14q21.1
TCONS_00020922	XLOC_010200		hs|12q24.11
TCONS_00003825	XLOC_001637		hs|2q14.2
NM_003368	USP1	ubiquitin specific peptidase 1	hs|1p31.3
NM_021130	PPIA	peptidylprolyl isomerase A (cyclophilin A)	hs|7p13
NM_006310	NPEPPS	aminopeptidase puromycin sensitive	hs|17q21.32
NM_032731	TXNDC17	thioredoxin domain containing 17	hs|17p13.1
NM_001013630	AADACL4	arylacetamide deacetylase-like 4	hs|1p36.21
NM_001109662	C12orf51	chromosome 12 open reading frame 51	hs|12q24.13
NM_001040168	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	hs|7p22.3
THC2503819	XLOC_002996		hs|3q29
ENST00000390539			hs|14q32.33
TCONS_00014881	XLOC_006949		hs|8q24.3
ENST00000510602	XLOC_003521		hs|4p13
NM_018089	ANKZF1	ankyrin repeat and zinc finger domain containing 1	hs|2q35
TCONS_l2_00004345	XLOC_l2_002204		hs|11p15.4
DarkCorner			
GE_BrightCorner			
GE_BrightCorner			
GE_BrightCorner			
DarkCorner			
NM_145731	SYNGR1	synaptogyrin 1	hs|22q13.1
DQ883643			
ENST00000440860	XLOC_010503		hs|13q34
NM_001332	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	hs|5p15.2
DQ516790			
ENST00000413792	XLOC_002049		hs|2p22.2
NM_001145638	GPSM1	G-protein signaling modulator 1	hs|9q34.3
A_33_P3325808			hs|7q33
ENST00000438488	XLOC_002968		hs|3q28
NM_006887	ZFP36L2	zinc finger protein 36, C3H type-like 2	hs|2p21
NR_003016	SNORA26		hs|4q12
BC037892	XLOC_l2_004944		hs|15q21.3
NM_001033088	NGRN	neugrin, neurite outgrowth associated	hs|15q26.1
NM_012197	RABGAP1	RAB GTPase activating protein 1	hs|9q33.3
NM_052965	TSEN15	tRNA splicing endonuclease 15 homolog (S. cerevisiae)	hs|1q25.3
NM_001012985	C1orf31	chromosome 1 open reading frame 31	hs|1q42.2
NM_023945	MS4A5	membrane-spanning 4-domains, subfamily A, member 5	hs|11q12.2
NM_152734	C6orf89	chromosome 6 open reading frame 89	hs|6p21.2
ENST00000397466	TBCD	tubulin folding cofactor D	hs|17q25.3
DQ855001			
NM_152565	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	hs|8q21.3
NM_002253	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	hs|4q12
NM_178136	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	hs|22q13.2
NM_005692	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	hs|7q36.1
NM_005518	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)	hs|1p12
TCONS_l2_00025932	XLOC_l2_013442		hs|7q11.21
NR_034096	FONG	uncharacterized LOC348751	hs|2q33.1
TCONS_00010701	XLOC_004405		hs|5q12.1
NM_032591	SLC9A7	solute carrier family 9 (sodium/hydrogen exchanger), member 7	hs|Xp11.23
NR_033985	FLJ26245	uncharacterized LOC400533	hs|16p11.1
XR_108612	LOC100506867	uncharacterized LOC100506867	hs|6q14.1
NM_007152	ZNF195	zinc finger protein 195	hs|11p15.4
ENST00000442176	XLOC_005991		hs|7p21.2
NM_052916	RNF157	ring finger protein 157	hs|17q25.1
XR_109987	LOC100506235	uncharacterized LOC100506235	hs|2p16.3
NM_015921	CUTA	cutA divalent cation tolerance homolog (E. coli)	hs|6p21.32
NM_016441	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)	hs|2p22.2
A_33_P3368034			hs|12q21.33
ENST00000554043	XLOC_011080		hs|14q24.3
XM_003119593	LOC100134285	putative golgin subfamily A member 6-like protein 6-like	hs|15q11.2
CA312531	XLOC_004988		hs|5q23.2
NM_002537	OAZ2	ornithine decarboxylase antizyme 2	hs|15q22.31
NR_000029	RPL23AP7	ribosomal protein L23a pseudogene 7	hs|2q13
E1A_r60_a22			
NM_138567	SYT8	synaptotagmin VIII	hs|11p15.5
AL832088	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	hs|16q12.2
NM_015610	WIPI2	WD repeat domain, phosphoinositide interacting 2	hs|7p22.1
AK127572	XLOC_l2_009273		hs|21q22.3
ENST00000481779	CHRM3	cholinergic receptor, muscarinic 3	hs|1q43
ENST00000454253	XLOC_014183		hs|22q11.23
NM_001031847	CPT1A	carnitine palmitoyltransferase 1A (liver)	hs|11q13.3
TCONS_00075451_GNASAS	GNASAS		hs|20q13.32
NM_001042416	ZNF596	zinc finger protein 596	hs|8p23.3
NM_019099	C1orf183	chromosome 1 open reading frame 183	hs|1p13.2
A_33_P3368144			
NM_001005196	OR8B4	olfactory receptor, family 8, subfamily B, member 4	hs|11q24.2
NM_138459	NUS1	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	hs|6q22.1
THC2670244			hs|19q13.2
NM_001135	ACAN	aggrecan	hs|15q26.1
ENST00000493400	XLOC_l2_013648		hs|7q36.1
NM_194255	SLC19A1	solute carrier family 19 (folate transporter), member 1	hs|21q22.3
ENST00000399397	OTOG	otogelin	hs|11p15.1
TCONS_l2_00028266	XLOC_l2_014565		hs|8q21.13
NM_004616	TSPAN8	tetraspanin 8	hs|12q21.1
ENST00000455487	XLOC_010491		hs|13q33.3
ENST00000509709	ARHGAP24	Rho GTPase activating protein 24	hs|4q21.23
ENST00000428529	XLOC_013528		hs|20q13.12
TCONS_00001896	XLOC_001281		hs|1q43
AA496136	XLOC_011421		hs|15q14
ENST00000466212	SPATA21	spermatogenesis associated 21	hs|1p36.13
NM_003760	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	hs|1p36.12
NM_182964	NAV2	neuron navigator 2	hs|11p15.1
NM_021177	LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	hs|6p21.33
NM_012323	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	hs|22q13.1
NM_015131	WDR43	WD repeat domain 43	hs|2p23.2
NM_003685	KHSRP	KH-type splicing regulatory protein	hs|19p13.3
NM_080599	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	hs|10p14
NM_139207	NAP1L1	nucleosome assembly protein 1-like 1	hs|12q21.2
AB073660	XKR6	XK, Kell blood group complex subunit-related family, member 6	hs|8p23.1
TCONS_00016147	XLOC_007543		hs|9q33.1
TCONS_00019568	XLOC_009365		hs|11p15.4
ENST00000443508	XLOC_012139		hs|17p11.2
THC2703954	XLOC_014105		hs|21q22.3
NM_206996	SPAG17	sperm associated antigen 17	hs|1p12
NM_022756	MEAF6	MYST/Esa1-associated factor 6	hs|1p34.3
THC2558292	XLOC_l2_005871		hs|17q24.2
TCONS_00025313	XLOC_012116		hs|17p12
TCONS_l2_00017177	XLOC_l2_009172		hs|21q21.2
NR_026979	LOC145837	uncharacterized LOC145837	hs|15q23
NM_002726	PREP	prolyl endopeptidase	hs|6q21
NM_002661	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	hs|16q23.3
A_33_P3259954			hs|4p16.1
NR_038988	LOC100287765		hs|Xq22.1
ENST00000356822			hs|11q23.3
NM_000575	IL1A	interleukin 1, alpha	hs|2q13
NM_198181	GOLGA6L9	golgin A6 family-like 9	hs|15q25.2
NM_022304	HRH2	histamine receptor H2	hs|5q35.2
ENST00000391437			hs|10p15.1
NM_005375	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	hs|6q23.3
NR_003238	H2BFXP	H2B histone family, member X, pseudogene	hs|Xq22.2
TCONS_l2_00020874	XLOC_l2_010936		hs|4q34.1
NM_031500	PCDHA4	protocadherin alpha 4	hs|5q31.3
NM_152531	XXYLT1	xyloside xylosyltransferase 1	hs|3q29
NM_021982	SEC24A	SEC24 family, member A (S. cerevisiae)	hs|5q31.1
NM_001199233	LOC100505478	uncharacterized protein LOC100505478	hs|9q32
NM_016098	BRP44L	brain protein 44-like	hs|6q27
NM_020116	FSTL5	follistatin-like 5	hs|4q32.2
NM_006466	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	hs|20p11.23
NM_032504	UNC80	unc-80 homolog (C. elegans)	hs|2q34
NM_007044	KATNA1	katanin p60 (ATPase containing) subunit A 1	hs|6q25.1
XR_132715	LOC729032	ribosomal protein L36 pseudogene	hs|3p22.1
A_24_P401090			hs|1p34.3
NM_024617	ZCCHC6	zinc finger, CCHC domain containing 6	hs|9q21.33
NM_001042440	CAST	calpastatin	hs|5q15
NM_014846	KIAA0196	KIAA0196	hs|8q24.13
ENST00000468759	LRRIQ3	leucine-rich repeats and IQ motif containing 3	hs|1p31.1
NM_018946	NANS	N-acetylneuraminic acid synthase	hs|9q22.33
NM_214711	C4orf40	chromosome 4 open reading frame 40	hs|4q13.3
NM_015852	ZNF117	zinc finger protein 117	hs|7q11.21
NM_181876	PPP2R2C	protein phosphatase 2, regulatory subunit B, gamma	hs|4p16.1
A_33_P3240234			hs|2p14
NR_033690	C1orf213	chromosome 1 open reading frame 213	hs|1p36.12
NM_022065	THADA	thyroid adenoma associated	hs|2p21
NM_001144967	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	hs|18q21.31
TCONS_00008988	XLOC_003840		hs|4q35.2
NM_001478	B4GALNT1	beta-1,4-N-acetyl-galactosaminyl transferase 1	hs|12q13.3
ENST00000466949	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	hs|6p21.32
NM_001723	DST	dystonin	hs|6p12.1
NM_014415	ZBTB11	zinc finger and BTB domain containing 11	hs|3q12.3
AK124624	XLOC_l2_009886		hs|11q13.4
NM_080829	FAM65C	family with sequence similarity 65, member C	hs|20q13.13
NM_022566	MESDC1	mesoderm development candidate 1	hs|15q25.1
TCONS_00021796	XLOC_010399		hs|13q14.3
NM_024533	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	hs|16q23.1
A_33_P3411313			hs|4q32.3
AI792523	SNORA26	small nucleolar RNA, H/ACA box 26	
NM_017785	CCDC99	coiled-coil domain containing 99	hs|5q35.1
NM_003009	SEPW1	selenoprotein W, 1	hs|19q13.33
NM_145206	VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	hs|10q25.2
NM_000271	NPC1	Niemann-Pick disease, type C1	hs|18q11.2
3xSLv1			
NM_004106	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	hs|1q23.3
DA067175			hs|6q21
NM_007355	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	hs|6p21.1
NM_001040179	MCHR2	melanin-concentrating hormone receptor 2	hs|6q16.2
ENST00000503218	XLOC_004674		hs|5q35.3
NM_031413	CECR2	cat eye syndrome chromosome region, candidate 2	hs|22q11.21
NM_017864	INTS8	integrator complex subunit 8	hs|8q22.1
NM_001018055	BRCC3	BRCA1/BRCA2-containing complex, subunit 3	hs|Xq28
NM_001133	AFM	afamin	hs|4q13.3
NM_001103184	FMN1	formin 1	hs|15q13.3
NR_026803	FAM74A1	family with sequence similarity 74, member A1	hs|9p13.1
NM_016233	PADI3	peptidyl arginine deiminase, type III	hs|1p36.13
NM_152493	ZNF362	zinc finger protein 362	hs|1p35.1
NM_153218	LACC1	laccase (multicopper oxidoreductase) domain containing 1	hs|13q14.11
ENST00000415138	XLOC_001517		hs|2p13.3
NM_030806	C1orf21	chromosome 1 open reading frame 21	hs|1q25.3
NR_044991	LINC00229	long intergenic non-protein coding RNA 229	hs|22q13.31
NM_213674	TPM2	tropomyosin 2 (beta)	hs|9p13.3
DarkCorner			
DarkCorner			
GE_BrightCorner			
DarkCorner			
DarkCorner			
NM_003657	BCAS1	breast carcinoma amplified sequence 1	hs|20q13.2
A_24_P493287			hs|16p13.13
TCONS_l2_00008703	XLOC_l2_004706		hs|15q23
NM_001190478	MTRNR2L5	MT-RNR2-like 5	hs|10q21.1
NM_002880	RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	hs|3p25.2
ENST00000428651	XLOC_l2_008321		hs|2q24.1
THC2653958	Q7Z2X8		hs|19q13.42
NM_007198	PROSC	proline synthetase co-transcribed homolog (bacterial)	hs|8p11.23
ENST00000456559	XLOC_l2_015673		hs|Xp22.32
NM_001048210	CLCC1	chloride channel CLIC-like 1	hs|1p13.3
TCONS_00024362	XLOC_011686		hs|16p11.2
AK126102	XLOC_003406		hs|3q29
NM_000181	GUSB	glucuronidase, beta	hs|7q11.21
NM_000559	HBG1	hemoglobin, gamma A	hs|11p15.4
NM_001025595	ARFIP1	ADP-ribosylation factor interacting protein 1	hs|4q31.3
ERCC-00053_71			
TCONS_l2_00025908	XLOC_l2_013427		hs|7q11.21
NM_000625	NOS2	nitric oxide synthase 2, inducible	hs|17q11.2
TCONS_00006932	XLOC_002773		hs|3q13.32
XR_132670	LOC100652730	uncharacterized LOC100652730	hs|20q13.33
ENST00000362035	ICMT	isoprenylcysteine carboxyl methyltransferase	hs|1p36.31
TCONS_00010174	XLOC_004636		hs|5q35.1
TCONS_00017462	XLOC_008061		hs|Xq25
TCONS_00021922	XLOC_010517		hs|13q34
TCONS_00010372	XLOC_004875		hs|5q13.2
NM_021639	GPBP1L1	GC-rich promoter binding protein 1-like 1	hs|1p34.1
NM_032718	MFSD9	major facilitator superfamily domain containing 9	hs|2q12.1
NM_015442	CNOT10	CCR4-NOT transcription complex, subunit 10	hs|3p22.3
NR_003709	SNORA11B	small nucleolar RNA, H/ACA box 11B (retrotransposed)	hs|14q32.11
NM_000618	IGF1	insulin-like growth factor 1 (somatomedin C)	hs|12q23.2
ENST00000449439	XLOC_000982		hs|1p12
DB226000			hs|13q34
NM_019844	SLCO1B3	solute carrier organic anion transporter family, member 1B3	hs|12p12.2
THC2666473	XLOC_005763		hs|6q13
TCONS_00018616	XLOC_008963		hs|10q26.11
NM_152745	NXPH1	neurexophilin 1	hs|7p21.3
NM_207103	C17orf87	chromosome 17 open reading frame 87	hs|17p13.2
NM_006431	CCT2	chaperonin containing TCP1, subunit 2 (beta)	hs|12q15
NM_000572	IL10	interleukin 10	hs|1q32.1
THC2731302			hs|17q12
NM_004874	BAG4	BCL2-associated athanogene 4	hs|8p11.23
DQ854991			
NM_030952	NUAK2	NUAK family, SNF1-like kinase, 2	hs|1q32.1
NM_016084	RASD1	RAS, dexamethasone-induced 1	hs|17p11.2
NM_018340	CPPED1	calcineurin-like phosphoesterase domain containing 1	hs|16p13.12
ENST00000469178	XLOC_l2_009762		hs|3p13
ENST00000453361	XLOC_002593		hs|3p24.3
NM_002816	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	hs|17q24.2
NR_026834	LOC152024	uncharacterized LOC152024	hs|3p24.2
ERCC-00062_278			
TCONS_00007175	XLOC_003130		hs|3p21.1
TCONS_00012226	XLOC_005784		hs|6q16.1
NM_178454	DRAM2	DNA-damage regulated autophagy modulator 2	hs|1p13.3
ETG10_13482			
A_33_P3230588			hs|9q21.11
NR_024492	FLJ42627	uncharacterized LOC645644	hs|16p13.3
ENST00000412295	XLOC_l2_011891		hs|5q35.3
THC2664316	XLOC_005567		hs|6p25.3
NM_005012	ROR1	receptor tyrosine kinase-like orphan receptor 1	hs|1p31.3
NM_006883	SHOX	short stature homeobox	hs|Yp11.32
ENST00000432922	XLOC_l2_000159		hs|1p34.3
NM_001344	DAD1	defender against cell death 1	hs|14q11.2
A_33_P3519223			
NM_001128853	SRRT	serrate RNA effector molecule homolog (Arabidopsis)	hs|7q22.1
DQ516780			
NM_002333	LRP3	low density lipoprotein receptor-related protein 3	hs|19q13.11
NM_003886	AKAP4	A kinase (PRKA) anchor protein 4	hs|Xp11.22
NR_003242	PFN1P2	profilin 1 pseudogene 2	hs|1q21.1
TCONS_l2_00003528	XLOC_l2_001945		hs|10q11.21
NM_080872	UNC5D	unc-5 homolog D (C. elegans)	hs|8p12
ENST00000377186			hs|6p22.1
NM_018698	NXT2	nuclear transport factor 2-like export factor 2	hs|Xq23
NM_003483	HMGA2	high mobility group AT-hook 2	hs|12q14.3
ENST00000464543	XLOC_l2_013931		hs|7p22.1
ENST00000507949	XLOC_003736		hs|4q31.3
NR_033879	LOC348761	uncharacterized LOC348761	hs|2q37.1
A_33_P3239102			hs|15q25.2
ENST00000551483	CNOT2	CCR4-NOT transcription complex, subunit 2	hs|12q15
ENST00000452505	XLOC_014215		hs|22q12.3
DQ516739			
ENST00000316296	ANO1	anoctamin 1, calcium activated chloride channel	hs|11q13.3
NM_030958	SLCO5A1	solute carrier organic anion transporter family, member 5A1	hs|8q13.3
NM_198946	LCN6	lipocalin 6	hs|9q34.3
NM_018063	HELLS	helicase, lymphoid-specific	hs|10q23.33
TCONS_00020509	XLOC_009826		hs|12q21.33
ENST00000370490	SLITRK2	SLIT and NTRK-like family, member 2	hs|Xq27.3
TCONS_00019502	XLOC_009303		hs|11q23.3
NM_173216	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	hs|3q27.3
NM_001190470	MTRNR2L2	MT-RNR2-like 2	hs|5q14.1
NM_138812	DYDC1	DPY30 domain containing 1	hs|10q23.1
E1A_r60_a22			
XM_001719844	LOC652586	uncharacterized LOC652586	
NM_144703	LSM14B	LSM14B, SCD6 homolog B (S. cerevisiae)	hs|20q13.33
XR_108424	LOC100507380	uncharacterized LOC100507380	hs|2q33.3
NM_002252	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	hs|2p24.2
ENST00000355500			hs|11p13
A_33_P3247252			hs|10p12.1
NM_004313	ARRB2	arrestin, beta 2	hs|17p13.2
A_33_P3409553			hs|1p36.21
NR_027001	LOC388152	uncharacterized LOC388152	hs|15q25.2
TCONS_l2_00004688	XLOC_l2_002423		hs|11q14.1
NM_024524	ATP13A3	ATPase type 13A3	hs|3q29
ENST00000338542	DYNLRB2	dynein, light chain, roadblock-type 2	hs|16q23.2
BC040150	P06788		hs|8q24.21
NM_138395	MARS2	methionyl-tRNA synthetase 2, mitochondrial	hs|2q33.1
NM_001099733	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	hs|18p11.32
